num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,60,2,8,5.2566,0.9526112141421288,"[0.6745276092396032, 0.679719501282897, 0.6997401529698879, 0.705764327356307, 0.7143394339276465, 0.7162828890142008, 0.7307335470375126, 0.7315144589525935]"
5,20,60,2,9,5.8235,0.9518384247590902,"[0.6687710246185239, 0.6833006740195593, 0.6855084592339145, 0.6912519962339173, 0.6958337163853608, 0.7057746208876217, 0.7092553005730526, 0.713357671549614, 0.728380966368611]"
5,20,60,2,9,5.8051,0.9571995322281859,"[0.6662741608548024, 0.6807668777508475, 0.6867532812509564, 0.696828997381602, 0.6994355278777976, 0.7027078181471046, 0.713105678479462, 0.727332613887311, 0.7295942773499755]"
5,20,70,0,3,1.8114,0.937310850197145,"[0.7712320299331173, 0.7659435801880237, 0.7798597917641936]"
5,20,70,0,3,1.8137,0.9371180860442097,"[0.7731248953850893, 0.7678099500885157, 0.7780416714113472]"
5,20,70,0,4,2.2739,0.9465446668737523,"[0.7543101765279197, 0.7514183016763109, 0.7540857619745494, 0.7487861796160432]"
5,20,70,0,4,2.2617,0.9456241720029867,"[0.7513623018277528, 0.7430023770810364, 0.7485519085052548, 0.7479059792142436]"
5,20,70,0,5,2.6928,0.9516725940602376,"[0.7340367117203838, 0.7325927983944187, 0.7333239278377528, 0.7372571793896516, 0.7311219723151419]"
5,20,70,0,5,2.6838,0.9499974705287596,"[0.7329320204241517, 0.7316210622519588, 0.7361212483637072, 0.7315151973303468, 0.7365431340434002]"
5,20,70,0,6,3.1053,0.9548183311289611,"[0.7206193749286087, 0.7215102175673733, 0.723430929722172, 0.7178364231814387, 0.7210000281320269, 0.7256582626572087]"
5,20,70,0,6,3.1108,0.9555669970747563,"[0.7178914488098233, 0.7256264691737047, 0.723204520939311, 0.7250368144096746, 0.7241925244935186, 0.7225902699486028]"
5,20,70,0,7,3.5009,0.9567028976054603,"[0.7096881432927876, 0.7111971447984231, 0.7085865258951245, 0.709707072726442, 0.7100883610008882, 0.7149693899348146, 0.7157369738457212]"
5,20,70,0,7,3.5245,0.9584817818517497,"[0.7118906417473346, 0.7137906768746659, 0.7114286143039178, 0.7126458517477817, 0.7147039390117371, 0.7098163395000043, 0.7143013513110683]"
5,20,70,0,8,3.9218,0.9593809699950058,"[0.70577098704246, 0.7100282172722411, 0.6980614575312253, 0.699759474838558, 0.7096173783627394, 0.7018894826790573, 0.704739932926324, 0.7063815310183632]"
5,20,70,0,8,3.9095,0.9603574373227591,"[0.7103845294718999, 0.703663636455611, 0.7000147159307543, 0.7120321866254258, 0.7010247151664617, 0.7073337238659229, 0.7014811569380907, 0.7107906823994875]"
5,20,70,0,9,4.3267,0.962569031489011,"[0.702605343599842, 0.7004275785643463, 0.6981138317158662, 0.6951935839789372, 0.7011514941579687, 0.7010613757067801, 0.6975817492811683, 0.7005286170242312, 0.697806510136105]"
5,20,70,0,9,4.328,0.9630483998588161,"[0.7007610594394689, 0.6987245610963664, 0.6983102743985055, 0.7044242904602158, 0.7006557554292935, 0.7024905354838413, 0.6983642680384512, 0.6992311763489796, 0.7011512659684247]"
5,20,70,1,3,1.9225,0.9121777341079899,"[0.751428791129, 0.7540081830114276, 0.7622263968659375]"
5,20,70,1,3,1.9223,0.9228474969971787,"[0.7542928142323109, 0.7696001747399198, 0.7724926264249949]"
5,20,70,1,4,2.3873,0.9279682818224688,"[0.7313764228108925, 0.7346769351427581, 0.7403759359139884, 0.7490119078762981]"
5,20,70,1,4,2.3861,0.9355741231623841,"[0.738114972676946, 0.7355725432459742, 0.752014289319226, 0.7582787216670391]"
5,20,70,1,5,2.8187,0.9342739272473802,"[0.7095343774468226, 0.7158739947519315, 0.7267278645702743, 0.728883196009573, 0.7378533010939439]"
5,20,70,1,5,2.8369,0.9409189543248447,"[0.7178236297433945, 0.7255580075226887, 0.7271734205273848, 0.736000429402075, 0.7419694259838365]"
5,20,70,1,6,3.2603,0.9393405402962101,"[0.6980332598302355, 0.7047788527575439, 0.708684797131286, 0.7122674176089222, 0.7240035354865653, 0.7251687662459603]"
5,20,70,1,6,3.2693,0.9460777533803676,"[0.7070306211072518, 0.7131205959824073, 0.7188598589866778, 0.7165426993808085, 0.7246590634223425, 0.7306134442893883]"
5,20,70,1,7,3.7025,0.9454308145883057,"[0.6939939934330152, 0.6991972343562236, 0.7009854708712117, 0.7036761639778821, 0.7128175846871061, 0.7158891938002195, 0.7202822318156434]"
5,20,70,1,7,3.681,0.9502540236847153,"[0.6975195462305894, 0.6958963057619026, 0.7067639341742947, 0.7095676412636993, 0.7171203306125034, 0.717216443311063, 0.717132312282927]"
5,20,70,1,8,4.103,0.9474118400729358,"[0.6862636069585255, 0.6847788914537319, 0.6888852010751528, 0.7005149452037438, 0.6973560071855928, 0.7051758604872238, 0.7121239060816011, 0.7149914681143822]"
5,20,70,1,8,4.1164,0.9516903808425096,"[0.681885023143015, 0.6933934792135439, 0.7002347618751458, 0.6964891503509166, 0.7001375448110405, 0.7113265501625732, 0.7086430819513196, 0.7154710835689999]"
5,20,70,1,9,4.5335,0.9526909379504407,"[0.6819961072320598, 0.6874821987817169, 0.6941039507274215, 0.6983946663670763, 0.6963052284932294, 0.6964154912143794, 0.7039364728716844, 0.7006209906028099, 0.7049264823271809]"
5,20,70,1,9,4.523,0.955604901727312,"[0.6801275337718234, 0.6844444476482583, 0.6911033732506824, 0.6931723662227194, 0.6957329744826739, 0.7054832400125695, 0.7075079084658799, 0.7027413834215266, 0.7111456737227604]"
5,20,70,2,3,2.2139,0.8950826074068382,"[0.7158905804112886, 0.7451853124991592, 0.7722857525976882]"
5,20,70,2,3,2.2207,0.910349765190034,"[0.7257553782271989, 0.7542474013358512, 0.789337164773532]"
5,20,70,2,4,2.7053,0.8974028591345264,"[0.68684168353739, 0.7092312613126692, 0.7296419965425325, 0.7451695406145654]"
5,20,70,2,4,2.7037,0.9123933695082055,"[0.6975918319141597, 0.72134778238333, 0.7440649482535335, 0.7600198836989019]"
5,20,70,2,5,3.2533,0.9144509306666674,"[0.6732289873366712, 0.694429764662444, 0.7132039197275925, 0.7236606621977181, 0.7538520449276369]"
5,20,70,2,5,3.2569,0.9233527895033545,"[0.6775413729868999, 0.6904585046487121, 0.7209437454890959, 0.734782484196599, 0.7642777641875701]"
5,20,70,2,6,3.7136,0.9130233806738779,"[0.6657362156085352, 0.6717902052898127, 0.6928838544303306, 0.7029616087886681, 0.7156342158566825, 0.7240583989142098]"
5,20,70,2,6,3.725,0.9256553988358989,"[0.6640784976232551, 0.6811329303116072, 0.7014262107378572, 0.711273861653016, 0.7280004747375212, 0.7414483721427609]"
5,20,70,2,7,4.2312,0.9224489232873526,"[0.6529010615892517, 0.664115267035626, 0.6802695493901516, 0.6903711904904478, 0.7020143128146774, 0.7154422756494678, 0.7350954716399356]"
