num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,70,2,14,7.5361,0.9395258200662047,"[0.6218338692944143, 0.6323871225830315, 0.6348664657630375, 0.6435511462630148, 0.6440981487569049, 0.6459466985482053, 0.6580942410376341, 0.6574988335304248, 0.6681895310126924, 0.674610524470737, 0.6819576025160721, 0.6890747245095292, 0.7026069157425753, 0.7143121629147883]"
5,20,70,2,14,7.528,0.9455516795601987,"[0.6211775872923901, 0.6345550863416441, 0.6330457306622999, 0.6419693587735662, 0.6446138936938197, 0.6523439588837139, 0.6562609423518585, 0.663627803204258, 0.6683527579935356, 0.68183627811025, 0.6905951257559044, 0.703937321567264, 0.7087058335343954, 0.7194405022893686]"
5,20,70,2,16,8.4314,0.9407934986334039,"[0.6182107985513686, 0.6244842196754296, 0.6201482640269471, 0.6318944668793219, 0.6345763915820529, 0.6367063376934773, 0.6455987360245954, 0.6462859222092098, 0.6549737797245004, 0.6626114173328614, 0.6675084433321913, 0.6707273029515989, 0.6762978698601264, 0.6872005377243601, 0.6962322584939046, 0.7167352771815166]"
5,20,70,2,16,8.4264,0.9464840951791668,"[0.6253740044614672, 0.6237745574069368, 0.6283565446133195, 0.6288834836495633, 0.6378716119823273, 0.6394111663918596, 0.6472586346337125, 0.6539434879954161, 0.6623109049549137, 0.6620996889774686, 0.6712306514652079, 0.6775832879025415, 0.6820764606468583, 0.6978975687854442, 0.7004611575229907, 0.7138901273507354]"
5,20,80,0,10,3.4977,0.9475585775629768,"[0.6771980792143425, 0.6799768834106855, 0.6739663580678642, 0.6814092612843531, 0.6815382733590234, 0.6800923041149174, 0.6783724471148931, 0.6785613259769874, 0.6811631505195292, 0.6748097968286273]"
5,20,80,0,10,3.5274,0.9482541913749299,"[0.6802997068600751, 0.681409821193788, 0.6812821275667763, 0.6829249927350024, 0.6836925113904565, 0.6806098833848503, 0.6812683050146962, 0.6777184780757287, 0.6866397265400488, 0.6787230986608718]"
5,20,80,0,12,4.0558,0.9512993304727007,"[0.6697239059551039, 0.6747265119607995, 0.6725124980441533, 0.6699001850208953, 0.6786286720606387, 0.6694275583007656, 0.6672783610320242, 0.6703077345732535, 0.6761182586581157, 0.674041755525544, 0.6736157216980256, 0.6721903285382145]"
5,20,80,0,12,4.036,0.9503275341789907,"[0.6761289263975407, 0.6707314366309636, 0.6734615117006686, 0.6698536945230631, 0.6658425415389956, 0.6716106465759736, 0.6728900831088988, 0.6691852433325225, 0.6703888121632104, 0.6715468697187283, 0.6631729949197569, 0.6719290621414863]"
5,20,80,0,14,4.5781,0.9561628583977344,"[0.665719293511431, 0.6728247333514576, 0.6645496874521996, 0.665662713511917, 0.6740081306253491, 0.6640246293474297, 0.6720403560773834, 0.667858870630185, 0.6689135780620449, 0.6681880351815085, 0.6674411603756918, 0.66093828757909, 0.6684679800464068, 0.6693737183885795]"
5,20,80,0,14,4.6022,0.9536656063407248,"[0.664596423189678, 0.6651216036835165, 0.6688732671047963, 0.6736881594349785, 0.6652904830692632, 0.6647169281762503, 0.6658956525685894, 0.6700776004642277, 0.6731827472008995, 0.6648212113918146, 0.668792743666981, 0.6621177471829471, 0.6670270891681528, 0.6629192810899428]"
5,20,80,0,16,5.1344,0.9569583960313527,"[0.6672175385228597, 0.6609638708985885, 0.6618619077337835, 0.6601158439333616, 0.6619274024564605, 0.6648607956087714, 0.6601236397214142, 0.6658606215782408, 0.6637699643645516, 0.6588494434024608, 0.6581936986982869, 0.6627793405735835, 0.6600283068618995, 0.6629015377340733, 0.6659028068784896, 0.6612203347433032]"
